	P0_rep1	P0_rep2	AB_rep1	AB_rep2	P1_rep1	P1_rep2
acbp-7	0	0	0	0	0	0
acc-1	0	0	0	0	0	0
acc-2	0	0	0	0	0	0
acc-3	0	0	0	0	0	0
acc-4	0	0	0	0	0	0
acd-1	0	0	0	0	0	0
acdh-1	0	0	0	0	0	0
acdh-10	45.6	101.58	192.84	93.31	421.56	94.81
acdh-11	53.1	100.7	64.15	31.84	71.2	78.91
acdh-12	244.42	191.74	199.02	317.26	143.62	245.89
acdh-13	222.49	98.65	0	22.5	6.47	156.59
acdh-2	2.6	0	0	0	0	0
acdh-3	98.12	249.12	368.67	373.8	337.41	299.11
acdh-4	0	0	0	0	0	0
acdh-5	0	0	0	0	0	0
acdh-6	0	0	0	0	0	0
acdh-7	24.24	23.13	75.74	137.22	70.39	51.38
acdh-8	0	0	0	0	0	0
acdh-9	68.68	27.52	22.41	28.54	28.32	22.63
ace-1	17.6	1.17	0	0	0	0
ace-2	0	0	0	0	0	0
ace-3	0	0	0	0	0	0
ace-4	0	0	0	0	0	0
acin-1	168.53	215.75	231.87	167.41	375.44	173.72
acl-1	1.73	16.39	9.66	21.96	0	74.01
acl-11	176.32	190.28	43.67	15.37	132.7	27.53
acl-12	72.72	32.49	69.95	41.72	0	18.96
acl-13	0	0	0	0	0	0
acl-14	258.56	293.61	256.99	184.43	93.05	318.07
acl-2	187	121.49	0	46.11	255.68	75.24
acl-3	225.38	251.46	182.02	187.17	201.47	155.98
acl-4	107.64	161.3	187.43	328.24	158.99	390.86
acl-5	53.1	42.74	4.25	68.61	3.24	72.18
acl-6	358.7	330.21	129.85	385.32	535.24	458.14
acl-7	0	0	0	0	0	0
acl-8	0.29	0.88	1.93	0.55	19.01	1.22
acl-9	415.26	363.87	350.9	347.45	98.71	423.89
acn-1	0	0	20.1	0	0	1.84
aco-1	132.17	143.44	18.16	248.65	61.9	118.05
aco-2	138.23	105.09	87.72	192.66	33.58	329.08
acox-1	0	0	0	0	0	0
acp-1	0	0	0	0	0	0
acp-2	0	0	0	0	0	0
acp-3	0	0	0	0	0	0
acp-4	0	0	0	0	0	0
acp-5	0	0	0	0	0	0
acp-6	0	0	0	0	0	0
acp-7	0	0	0	0	0	0
acr-10	0	0	0	0	0	37.31
acr-11	15.58	0	0	0	30.75	0.61
acr-12	0	0	0	0	0	0
acr-14	0	0	0	0	0	0
acr-15	0	0	0	0	0	0
acr-16	90.61	10.54	0	0	0	0
acr-17	0	18.44	0	0	0	0
acr-18	0	0	0	0	0	0
acr-19	0	0	0	0	0	0
acr-2	0	0	0	0	0	0
acr-20	0	0	0	0	0	0
acr-21	0	0	0	0	0	0
acr-23	0	0	0	0	0	0
acr-24	0	0	0	0	0	0
acr-25	0	0	0	0	0	0
acr-3	0	0	0	0	0	0
acr-5	0	0	0	0	0	0
acr-6	0	0	0	0	0	0
acr-7	0	0	0	0	0	0
acr-8	2.02	4.39	1.16	0.55	4.45	0.61
acr-9	2.6	0.88	0	0	0	0
acs-1	0	0	0	0	0	0
acs-10	0	0	0	0	0	0
acs-11	245.87	179.45	144.92	177.84	72.42	263.63
acs-12	0	0	0	0	0	0.61
acs-13	298.97	367.09	336.6	643.3	733.07	912.01
acs-14	0	0	0	0	0	0
acs-15	0	0	0	0	0	0
acs-16	0	0	0	9.88	0	0
acs-17	11.83	7.9	0	0	0	0
acs-18	0	0	0	0	0	0
acs-19	578.31	512.87	574.65	775.04	713.65	1010.49
acs-2	0	21.37	30.53	0	40.46	0
acs-20	91.77	41.86	0	18.66	0	86.86
acs-21	2.02	8.78	0	2.2	0	47.71
acs-22	0	0	0	0	0	0
acs-3	0	0	0	34.03	0	0
acs-4	712.21	456.96	311.48	472.05	476.58	821.48
acs-5	0	0	0	0	0	0
acs-6	0	0	0	0	0	0
acs-7	0	0	0	0	0	0
acs-9	0	0	0	0	0	0
act-1	111.39	160.42	160.76	95.51	129.46	88.08
act-2	491.73	532.49	779.47	748.69	727	635.53
act-3	321.76	489.45	336.98	181.68	376.65	200.63
act-4	69.26	42.15	129.85	192.11	65.94	148.64
act-5	0	0	0	1.1	0	1.22
acy-1	0	0	92.36	0	0	0
acy-2	0	0	0	0	0	0
acy-3	0	0	0	0	0	0
acy-4	0	0	19.71	0	0	0
ada-2	172.86	245.31	335.05	225.05	426.01	228.77
adbp-1	93.21	100.12	69.95	59.83	82.94	48.32
add-1	0	0	0	0	0	0
add-2	153.81	177.98	333.12	149.85	225.75	117.44
adm-2	75.9	37.18	86.95	50.5	0	10.4
adm-4	231.73	273.71	87.72	169.06	39.24	107.04
adpr-1	7.79	9.66	0	0	0	0
adr-1	0	0	0	14.82	0	42.82
adr-2	214.12	156.61	362.1	231.63	161.02	288.1
ads-1	0	0	0	0	0	0
adt-1	0	0	0	0	0	0
adt-2	0	0	0	0	0	0
aex-1	0	0	0	0	0	0
aex-2	0	0	0	0	0	0
aex-3	5.48	0	0	0	0	0
aex-4	0	0	0	0	0	0
aex-5	0	0	0	0	0	0
aex-6	0	0	0	0	0	0
afd-1	34.34	57.08	100.09	21.96	32.77	6.73
aff-1	0	0	0	0	0	69.73
age-1	114.56	166.57	307.61	483.57	370.18	173.1
agef-1	75.32	125	123.28	203.09	45.72	62.39
agl-1	0	0	0	0	0	32.42
agmo-1	0	0	0	0	0	0
agr-1	0	0	0	0	0	0
ags-3	58	47.42	28.6	82.33	176.79	51.38
agt-1	34.34	82.55	37.1	17.02	36.01	14.07
agt-2	176.9	263.17	508.57	250.3	258.92	308.9
AH10.2	0	0	0	0	0	0
AH10.3	0	0	0	0	0	0
AH10.4	0	0	0	0	0	0
AH10.7	0	0	0	0	0	0
AH10.8	0	0	0	0	0	0
AH10.9	0	0	0	0	0	0
AH6.3	0	0	0	0	0	0
AH9.1	6.64	0	0	0	0	2.45
AH9.3	40.98	99.53	90.43	45.56	66.35	34.87
AH9.4	0	0	0	0	0	0
AH9.6	0	0	0	0	0	0
AH9.7	0	0	0	0	0	0
aha-1	81.67	50.94	120.19	109.78	101.95	53.83
ahcy-1	392.46	377.34	581.61	467.11	659.84	456.31
aho-3	333.02	259.66	369.83	195.41	314.35	169.43
ahr-1	0	0	0	0	0	0
ain-1	106.2	161.59	119.41	120.76	0	100.31
ain-2	198.83	193.5	100.09	193.21	134.72	100.93
aip-1	53.96	11.12	125.98	34.03	78.89	40.98
aipl-1	300.99	270.78	159.99	348.55	317.18	415.94
air-1	689.7	808.24	630.3	517.61	627.07	545.61
air-2	219.03	194.96	102.02	114.72	184.48	132.73
ajm-1	4.62	36.3	60.67	4.39	0	79.52
aka-1	484.23	673.88	447.9	751.43	512.18	695.47
akt-1	607.17	614.74	453.69	658.67	538.07	470.99
akt-2	0	67.62	15.84	2.74	0	10.4
aldo-1	0	0	0.39	0	152.93	0
aldo-2	244.14	268.44	811.16	699.29	703.94	651.43
alg-1	69.26	27.52	105.89	76.3	0	50.77
alg-2	195.08	238.87	127.53	201.99	239.5	91.14
alh-1	167.37	152.81	205.98	241.51	618.17	310.73
alh-10	0	0	0	0	0	0
alh-11	10.1	40.69	0	11.53	0.4	64.84
alh-12	0	0	0	0	0	0
alh-13	2.02	0	0	0	35.2	0
alh-2	0	0	0	0	0	0
alh-3	38.67	0.29	0	0	0	40.37
alh-4	102.44	95.14	100.48	131.73	74.04	202.46
alh-5	0	0	0	0	0	0
alh-6	14.72	31.62	6.96	38.97	3.64	31.2
alh-7	13.85	49.47	3.09	0.55	0.4	12.23
alh-8	80.22	76.99	45.6	179.49	25.89	211.03
alh-9	70.12	49.47	172.74	34.03	146.86	114.99
alp-1	110.81	118.56	76.13	49.95	83.34	37.92
alr-1	0	0	0	0	0	0
alx-1	159.87	97.19	164.24	98.8	179.63	168.82
aly-1	66.37	51.52	23.96	29.09	77.68	35.48
aly-2	223.07	233.6	422.39	302.44	440.98	232.44
aly-3	276.46	309.71	437.46	257.43	388.38	198.18
ama-1	160.16	187.35	234.96	85.08	101.55	111.32
aman-1	0	0	0	0	0	0
aman-2	383.81	221.6	197.86	415.51	230.2	212.25
aman-3	0	0	0	0	0	4.28
amph-1	55.41	45.37	0	73	7.69	100.31
amt-1	0	0	0	0	0	0
amt-2	0	0	0	0	0	0
amt-3	0	6.73	0	0	0	0
amt-4	0	0	0	0	0	0
amx-1	116.3	81.97	224.91	128.99	165.87	147.41
amx-2	0	0	0	0	0	0
amx-3	0	0	0	0	0	0
anc-1	0	33.96	0	0	0	0
ani-1	206.62	221.02	338.92	479.18	225.34	394.53
ani-2	317.15	311.18	326.16	542.31	309.9	860.63
ani-3	124.95	207.55	219.12	290.36	212.8	398.2
ant-1.1	1091.97	1359.76	2284.69	1513.85	1953.64	1772.63
ant-1.2	0	0	0	0	0	0
ant-1.3	0.29	13.76	0	4.39	0	0
ant-1.4	0	0	0	0	0	0
aos-1	358.12	318.5	234.58	199.25	110.45	184.73
apa-2	137.94	99.53	26.28	144.36	0.4	159.04
apb-1	175.45	80.5	70.72	165.22	57.04	101.54
apb-3	334.46	247.65	285.97	532.43	486.29	397.59
apc-10	187.86	110.07	256.6	125.7	257.71	179.83
apc-11	79.65	66.74	48.31	27.99	92.65	19.57
apc-16	56.27	84.6	26.28	12.62	27.91	25.69
apc-2	210.66	156.32	132.55	273.35	186.1	217.76
apd-3	197.1	143.44	145.69	76.85	165.06	19.57
ape-1	498.66	394.31	647.3	746.49	221.3	434.29
apg-1	148.91	235.07	54.1	119.11	234.65	211.64
aph-1	182.67	192.62	107.43	128.44	161.02	120.5
aph-2	174.01	237.12	207.14	184.98	55.43	126.62
apl-1	0	0	0	0	0	0
apm-1	20.2	0	0	13.17	2.83	53.83
apm-3	182.38	111.24	61.06	119.66	217.25	66.06
apn-1	162.18	225.41	234.19	114.72	186.91	114.99
app-1	423.05	472.47	584.31	565.36	426.01	483.83
apr-1	395.93	237.41	315.34	548.89	280.36	617.79
aps-1	96.67	135.24	64.92	37.32	0	19.57
aps-2	71.86	72.6	110.14	42.26	12.95	20.8
aps-3	110.52	89.58	74.97	29.09	115.3	7.34
apt-9	0	0	0	0	0	0
aptf-1	0	0	0	0	0	0
apx-1	133.61	209.31	10.05	63.67	67.56	67.9
apy-1	58	62.65	68.02	42.81	14.97	70.34
aqp-1	0	0	0	0	0	0
aqp-10	68.1	113.58	31.69	50.5	0	18.35
aqp-11	22.51	37.76	2.71	25.8	7.69	1.84
aqp-12	33.47	36.3	26.67	8.78	12.14	6.73
aqp-2	0	0	31.69	0	0	23.24
aqp-3	0	0	0	0	0	0
aqp-4	0	0	0	0	0	0
aqp-5	0	0	0	0	0	0
aqp-6	0	0	0	0	0	0
aqp-7	2.6	0	0	0	0	0
aqp-8	0	0	0	0	0	0
aqp-9	0	2.34	0	0	0	0
arc-1	13.85	30.15	0	68.61	0	1.22
ard-1	129.28	205.5	88.11	93.31	77.68	100.31
arf-1.1	0	0	0	0	0	0
arf-1.2	636.02	585.47	581.99	408.93	367.34	407.38
arf-3	384.96	447.01	506.25	352.39	525.93	317.46
arf-6	2.6	2.05	35.55	1.65	5.66	3.67
arg-1	0	0	0	0	0	0
ari-1	342.54	293.91	487.7	283.78	160.61	250.18
ark-1	120.34	99.24	172.74	76.3	23.87	80.74
arl-1	223.94	254.97	168.88	111.43	295.33	75.85
arl-13	0	0	0	0	0	0
arl-3	0	0	0	0	0	0
arl-5	151.5	155.74	94.68	52.14	114.49	47.1
arl-6	0	0	0	0	0	0
arl-7	0	0	0	0	0	0
arl-8	390.16	478.91	329.64	192.11	450.28	191.45
arp-1	103.02	183.84	195.93	192.11	207.95	134.57
arp-11	110.52	156.32	15.46	79.04	60.28	130.29
arr-1	23.37	72.31	81.54	116.37	65.94	86.86
arrd-1	0	0	0	0	0	0
arrd-10	0	0	0	0	0	0
arrd-11	0	0	0	0	0	0
arrd-12	10.1	0.29	0	0	0	0
arrd-13	19.91	41.86	44.83	56.54	192.98	79.52
arrd-14	0	5.27	0	13.17	0	0
arrd-15	0	0	0	0	0	0
arrd-16	0	0	0	0	0	0
arrd-17	0	0	0	0	0	0
arrd-18	85.71	17.86	74.58	114.72	0	1.22
arrd-19	23.09	13.47	92.36	34.03	32.77	128.45
arrd-2	15.87	76.11	62.6	23.05	29.94	45.88
arrd-20	0	0	0	0	0	0
arrd-21	0	0	0	0	0	0
arrd-22	18.76	0	0	37.87	0	0
arrd-23	0	0	0	0	0	0
arrd-24	0	0	0	0	0	0
arrd-25	30.3	70.26	44.44	19.21	2.02	22.63
arrd-3	0	0	0	0	0	0
arrd-4	1.44	1.17	11.59	0	0	0
arrd-5	0	0	0	0	0	0
arrd-6	0	0	0	0	0	0
arrd-7	0	19.32	0	0	0	0
arrd-8	0	0	0	0	0	0
arrd-9	0	0	0	0	0	0
art-1	256.83	308.84	265.88	219.01	214.42	160.26
arx-1	195.08	211.35	188.97	48.85	220.49	179.22
arx-2	426.52	281.9	377.18	307.38	546.16	558.46
arx-3	188.15	154.56	195.16	152.04	187.31	168.82
arx-4	211.24	192.91	156.13	105.94	115.71	96.64
arx-5	47.62	53.86	3.48	18.66	53	23.24
arx-6	99.56	133.19	13.91	45.56	50.57	68.51
arx-7	39.82	76.4	30.92	21.41	73.23	36.09
asah-1	0	0	0	0	0	0
asb-1	536.75	480.09	286.75	278.29	454.33	292.38
asb-2	132.75	84.89	89.27	139.42	77.68	117.44
asc-1	34.92	49.47	1.55	73.55	161.02	45.88
asd-1	162.18	146.95	93.52	141.61	116.51	101.54
asd-2	3.17	0	0	146.55	0	149.25
asfl-1	171.7	163.64	85.41	114.17	295.33	167.6
asg-1	99.85	149	120.57	46.66	200.26	36.09
asg-2	43.86	77.28	52.56	18.66	41.27	17.13
ash-2	174.59	188.52	96.23	98.8	215.23	136.4
asic-1	0	0	0	0	0	0
asic-2	0	0	0	0	0	0
asm-1	0	0	0	0	0	0
asm-2	0	0	0	0	0	0
asm-3	0	0	0	0	0	0
asna-1	179.49	182.08	154.19	69.16	163.44	157.81
asna-2	0	0	12.37	0	199.05	0
asns-1	0	0	0	0	0	0
asns-2	0	0	0	0	0	0
asp-1	0	0	0	0	0	0
asp-2	0	0	1.93	0.55	0	1.84
asp-3	0	0	0	0	0	0
asp-4	0	0	0	0	0	0
asp-5	0	0	0	0	0	0
asp-6	0	0	0	0	0	0
aspm-1	193.35	328.16	220.28	261.82	247.19	55.66
ast-1	0	0	0	0	0	0
atad-3	322.92	282.49	173.9	137.22	131.48	256.29
atf-2	0	0	0	0	0	0
atf-5	0	0	0	0	0	0
atf-6	191.04	85.48	131.39	18.66	0	16.52
atf-7	247.89	417.15	271.29	481.38	569.22	627.58
atg-10	20.78	7.03	0.39	1.65	0	0.61
atg-11	86.86	112.41	34.78	186.07	155.76	48.93
atg-13	309.64	282.78	319.59	181.13	220.49	214.09
atg-16.1	63.49	78.16	39.42	103.74	168.7	115.61
atg-16.2	230	162.18	244.62	146.01	267.01	236.11
atg-18	376.88	338.99	193.61	424.29	482.24	573.75
atg-2	36.65	83.14	7.34	132.28	69.59	27.53
atg-3	67.82	92.5	115.94	48.3	200.26	54.44
atg-4.1	4.91	4.39	19.32	47.75	4.85	10.4
atg-4.2	85.71	103.63	173.13	123.5	27.51	132.73
atg-5	32.9	104.21	81.15	81.24	48.14	66.67
atg-7	72.43	159.54	205.59	142.16	287.24	211.03
atg-9	0	0	3.09	43.91	0	0
atgp-1	25.39	4.39	0	16.47	0.4	70.34
atgp-2	3.46	27.22	2.32	32.38	72.82	63
ath-1	128.13	136.12	107.82	100.45	87.39	91.75
athp-1	59.45	29.27	52.17	44.46	48.55	72.79
atl-1	71.57	69.96	236.89	142.71	47.74	189.62
atm-1	14.43	97.77	147.24	47.75	24.68	91.14
atn-1	14.14	15.51	0	0.55	0	0
atp-2	891.7	941.44	1051.53	1058.27	1013.03	1225.8
atp-3	277.03	376.46	357.85	261.82	643.26	290.55
atp-4	139.09	145.2	120.57	74.65	130.27	85.02
atp-5	307.33	376.46	320.37	191.56	362.89	229.99
attf-1	0	0	0	0	0	0
atx-2	150.93	154.56	174.68	267.86	308.68	277.7
atx-3	100.14	145.2	212.93	154.79	113.28	83.19
ave-1	30.3	55.03	46.76	8.78	53	3.06
avr-14	0	0	0	0	0	0
avr-15	0	0	0	0	0	0
axl-1	0	0	0	0	0	0
B0001.10	0	0	0	0	0	0
B0001.11	0	0	0	0	0	0
B0001.12	0	0	0	0	0	0
B0001.2	301.85	259.95	107.05	307.38	683.31	631.86
B0001.3	49.35	31.03	87.34	81.24	110.85	12.23
B0001.4	161.03	141.1	120.19	111.43	188.12	112.55
B0001.5	89.17	50.94	142.6	189.92	53.81	192.07
B0001.6	133.9	91.33	68.79	140.52	96.29	147.41
B0001.7	262.89	155.44	238.44	237.67	211.59	277.09
B0001.8	207.49	186.47	169.65	177.29	139.17	113.16
B0019.2	88.59	103.63	147.24	245.9	96.29	113.77
B0024.10	10.1	26.64	103.57	148.75	109.64	200.63
B0024.11	284.54	271.95	211.77	243.16	281.17	232.44
B0024.13	317.43	291.86	109.37	158.63	225.75	180.44
B0024.15	0	0	0	0	0	0
B0024.17	0	0	0	0	0	0
B0024.18	0	0	0	0	0	0
B0024.3	5.19	50.94	0	19.76	81.32	0
B0024.4	0	0	0	0	0	0
B0025.4	81.67	167.15	147.24	39.52	100.74	35.48
B0025.5	0	0	0	0	0	0
B0025.6	0	0	0	0	0	0
B0034.1	0	1.76	0	0	0	0
B0034.10	0	0	0	0	0	0
B0034.11	0	0	0	0	0	0
B0034.12	0	0	0	0	0	0
B0034.13	0	0	0	0	0	0
B0034.14	0	0	0	0	0	0
B0034.15	0	0	0	0	0	0
B0034.16	0	0	0	0	0	0
B0034.17	0	0	0	0	0	0
B0034.2	0	0	0	0	0	0
B0034.4	0	0	0	0	0	0
B0034.5	0	0.59	0	0	0	0
B0034.7	0	0	0	0	0	0
B0034.8	0	0	0	0	0	0
B0034.9	0	0	0	0	0	0
B0035.1	241.54	373.82	287.91	163.02	173.96	326.02
B0035.11	275.59	248.82	320.75	249.2	440.98	277.09
B0035.12	228.84	270.49	128.3	222.3	342.67	421.44
B0035.13	0	0	0	0	0	0
B0035.15	169.97	165.98	103.57	79.59	300.19	127.23
B0035.16	17.6	111.82	0	64.77	1.21	24.47
B0035.18	22.22	53.28	9.66	10.43	41.67	1.84
B0035.19	0	0	0	0	0	0
B0035.3	433.44	422.12	649.24	250.84	494.78	352.94
B0035.6	391.89	410.12	367.13	694.35	673.2	596.38
B0041.1	0	0	0	0	0	0
B0041.10	0	0	0	0	0	0
B0041.3	32.03	42.45	0	12.08	2.43	13.46
B0041.5	279.34	258.19	279.79	278.84	270.65	332.14
B0041.8	379.19	461.64	478.81	312.87	497.61	362.72
B0041.9	0	0	0	0	0	0
B0198.10	0	0	0	0	0	0
B0198.2	0	0	0	0	0	0
B0198.3	0	0	0	0	0	0
B0198.4	0	0	0	0	0	0
B0198.5	0	0	0	0	0	0
B0198.6	0	0	0	0	0	0
B0198.7	0	0	0	0	0	0
B0198.8	0	0	0	0	0	0
B0198.9	0	0	0	0	0	0
B0205.1	129.86	233.02	325.78	253.59	118.13	245.89
B0205.10	0	0	0	0	0	0
B0205.11	149.19	171.25	197.86	46.11	206.73	85.02
B0205.12	0	9.95	0	0	0	0.61
B0205.13	0	0	0	0	0	0
B0205.14	0	0	0	0	0	0
B0205.15	0	0	0	0	0	0
B0205.16	0	0	0	0	0	0
B0205.4	0	0	0	0	0	0
B0205.5	0	0	0	0	0	0
B0205.6	102.73	141.98	30.53	54.34	8.9	63
B0205.8	54.83	46.84	28.6	40.62	59.07	36.09
B0205.9	202.29	192.91	242.69	229.99	165.06	176.16
B0207.1	0	0	0	0	0	0
B0207.10	0	0	0	0	0	0
B0207.11	0	0	0	0	0	0
B0207.13	0	0	0	0	0	0
B0207.14	0	0	0	0	0	0
B0207.15	0	0	0	0	0	0
B0207.16	0	0	0	0	0	0
B0207.2	0.29	0	0	4.94	0	0
B0207.5	0	0.88	0	0	0	0
B0207.6	169.11	142.27	160.38	75.2	320.82	95.42
B0207.7	0	0	0	0	0	0
B0207.8	0	0	0	0	0	0
B0207.9	0	0	0	0	0	0
B0212.3	53.39	28.1	23.57	137.22	0	126.62
B0212.4	0	1.76	0	0	0	0
B0212.7	0	0	0	0	0	0
B0212.8	0	0	0	0	0	0
B0212.9	0	0	0	0	0	0
B0212.t1	0	0	0	0	0	0
B0213.18	0	0	0	0	0	0
B0213.21	0	0	0	0	0	0
B0213.22	0	0	0	0	0	0
B0213.23	0	0	0	0	0	0
B0213.24	0	0	0	0	0	0
B0213.25	0	0	0	0	0	0
B0218.5	0	0	0	0	0	0
B0218.7	0	0	0	0	0	0
B0222.1	0	0	0	0	0	0
B0222.10	0	0	0	0	0	0
B0222.11	0	0	0	0	0	0
B0222.14	0	0	0	0	0	0
B0222.2	0	0	0	0	0	0
B0222.3	0	0	0	0	0	0
B0222.5	0	0	0	0	0	0
B0222.9	0	0	0	0	0	0
B0228.1	0	0	0	0	0	0
B0228.6	84.84	0	0	18.66	0	30.58
B0228.7	28.28	12.29	0	0	0	14.07
B0228.8	0	0	0	0	0	0
B0228.9	0	0	0	0	0	0
B0228.t1	0	0	0	0	0	0
B0238.1	0	0	0	6.04	0	61.17
B0238.10	115.43	86.94	125.6	68.61	317.18	113.77
B0238.11	258.56	217.5	196.32	216.26	444.21	215.92
B0238.12	0	0	0	0	0	0
B0238.13	0	0	0	0	0	0
B0238.15	0	28.1	39.03	5.49	0	2.45
B0238.18	0	0	0	0	0	0
B0238.7	0	0	0	0	0	0
B0238.9	197.1	248.53	236.89	209.68	255.28	320.52
B0240.5	0	0	0	0	0	0
B0240.6	0	0	0	0	0	0
B0244.10	0	0	0	0	0	0
B0244.11	0	0	0	0	0	0
B0244.13	0	0	0	0	0	0
B0244.14	0	0	0	0	0	0
B0244.4	0	0	0	0	0	0
B0244.5	0	0	0	0	0	0
B0244.6	0	0	0	0	0	0
B0244.7	0	0	0	0	0	0
B0244.9	5.48	0	0	0	0	0
B0244.t1	0	0	0	0	0	0
B0244.t2	0	0	0	0	0	0
B0244.t3	0	0	0	0	0	0
B0250.11	0	0	0	0	0	0
B0250.12	0	0	0	0	0	0
B0250.14	0	0	0	0	0	0
B0250.15	0	0	0	0	0	0
B0250.16	0	0	0	0	0	0
B0250.17	0	0	0	0	0	0
B0250.2	0	0.88	0	0	0	0
B0250.3	0	0	0	0	0	0
B0250.4	0	0	0	0	0	0
B0250.5	83.11	137.29	75.36	77.39	33.98	48.32
B0250.7	0	0	0	0	0	0
B0250.8	0	0	0	0	0	0
B0252.1	0	0	0	0	0	0
B0252.3	0	0	0	0	0	0
B0252.5	0	0	0	0	0	0
B0252.8	0	0	0	0	0	0
B0261.1	64.35	102.75	449.83	273.9	304.23	427.56
B0261.4	37.51	55.03	50.62	30.19	96.69	12.85
B0261.5	0	0	0	0	0	0
B0261.6	0	0	0	0	0	0
B0261.7	399.68	337.52	288.68	236.57	498.02	280.15
B0261.8	51.66	6.73	0	3.29	0	4.89
B0261.9	0	0	0	0	0	0
B0272.3	95.52	170.37	123.66	176.74	132.29	141.3
B0272.4	0	0	0	0	0	0
B0273.1	0	0	0	0	0	0
B0273.111	0	0	0	0	0	0
B0273.112	0	0	0	0	0	0
B0273.113	0	0	0	0	0	0
B0273.114	0	0	0	0	0	0
B0273.3	24.53	6.73	9.66	12.08	0	11.62
B0280.11	0	0	0	0	0	0
B0280.13	0.87	0.59	0	0	0.4	0
B0280.17	0	0	0	0	0	0
B0280.19	0	0	0	0	0	0
B0280.2	0	0	0	0	0	0
B0280.20	0	0	0	0	0	0
B0280.6	0	0	0	0	0	0
B0280.7	0	0	0	0	0	0
