	logFC	logCPM	PValue
aldo-1	5.98	5.42	0.0103
aldo-2	-0.0765	9.48	0.869
alg-1	-1.74	5.9	0.286
alg-2	0.0926	7.39	0.913
alh-1	1.14	8.45	0.041
alh-11	2.34	4.47	0.264
alh-13	4.15	3.6	0.0799
alh-3	4.29	3.71	0.0703
alh-4	0.314	7.01	0.742
alh-6	-0.324	4.52	0.86
alh-7	1.4	2.81	0.471
alh-8	0.126	6.87	0.919
alh-9	0.424	6.91	0.685
alp-1	0.0337	6.02	0.986
alx-1	0.483	7.28	0.562
aly-1	1.15	5.49	0.446
aly-2	-0.0185	8.46	0.976
aly-3	-0.155	8.33	0.792
ama-1	-0.503	7.07	0.593
aman-2	-0.393	8.05	0.527
amph-1	0.599	5.58	0.749
amx-1	-0.0932	7.4	0.908
ani-1	-0.33	8.49	0.538
ani-2	0.493	8.99	0.386
ani-3	0.33	8.14	0.571
ant-1.1	0.0531	10.9	0.909
aos-1	-0.48	7.52	0.517
apa-2	-0.0504	6.4	0.978
apb-1	-0.499	6.65	0.652
apb-3	0.189	8.74	0.715
apc-10	0.279	7.7	0.695
apc-11	0.64	5.66	0.669
apc-16	0.522	4.71	0.763
apc-2	0.0659	7.68	0.932
apd-3	-0.166	6.71	0.897
ape-1	-1.02	8.99	0.0459
apg-1	1.43	7.31	0.0909
aph-1	0.334	7.05	0.714
aph-2	-1.03	7.17	0.243
apm-1	1.98	4.35	0.329
apm-3	0.731	6.91	0.479
apn-1	-0.121	7.36	0.888
app-1	-0.26	9	0.578
apr-1	0.121	8.78	0.827
aps-1	-2.2	5.03	0.226
aps-2	-2.03	5.6	0.183
aps-3	0.336	5.91	0.831
apx-1	0.93	5.79	0.526
apy-1	-0.306	5.68	0.841
aqp-10	-1.98	4.78	0.284
aqp-11	-1.3	3.63	0.501
aqp-12	-0.749	4.04	0.697
aqp-2	-0.352	4.04	0.863
arc-1	-4.29	4.32	0.0567
ard-1	0.0471	6.53	0.971
arf-1.2	-0.276	8.78	0.568
arf-3	0.06	8.74	0.908
arf-6	-1.68	3.84	0.395
ari-1	-0.831	8.2	0.148
ark-1	-1.17	6.49	0.328
arl-1	0.497	7.38	0.569
arl-5	0.227	6.32	0.86
arl-8	0.388	8.2	0.53
arp-1	-0.0954	7.53	0.897
arp-11	1.06	6.22	0.423
arr-1	-0.296	6.49	0.796
arrd-13	1.49	6.61	0.186
arrd-14	-2.71	2.63	0.23
arrd-18	-5.72	5.62	0.00167
arrd-19	0.412	6.21	0.758
arrd-2	-0.0952	5.43	0.962
arrd-22	-4.09	3.61	0.0805
arrd-25	-1.23	4.62	0.485
arrd-4	-2.54	2.53	0.268
art-1	-0.288	7.76	0.667
arx-1	0.829	7.35	0.345
arx-2	0.767	8.82	0.106
arx-3	0.117	7.48	0.882
arx-4	-0.219	6.92	0.822
arx-5	1.77	4.81	0.309
arx-6	1.04	5.58	0.483
arx-7	1.12	5.45	0.46
asb-1	0.484	8.37	0.365
asb-2	-0.156	6.76	0.883
asc-1	1.52	6.22	0.32
asd-1	-0.0297	6.86	0.979
asd-2	0.0696	6.25	0.972
asfl-1	1.29	7.41	0.107
asg-1	0.593	6.71	0.614
asg-2	-0.185	5.14	0.923
ash-2	0.927	7.13	0.294
asna-1	0.601	7.12	0.509
asna-2	3.89	5.85	0.0647
aspm-1	-0.573	7.63	0.483
atad-3	0.386	7.47	0.619
atf-6	-2.96	5.44	0.109
atf-7	0.742	8.94	0.138
atg-11	-0.0224	6.77	0.986
atg-13	-0.123	7.88	0.851
atg-16.1	1.06	6.79	0.316
atg-16.2	0.445	7.82	0.505
atg-18	0.844	8.72	0.114
atg-2	-0.432	5.95	0.78
atg-3	0.722	6.76	0.514
atg-4.1	-1.92	4.53	0.275
atg-4.2	-0.817	6.85	0.447
atg-5	-0.418	6.16	0.74
atg-7	0.599	7.75	0.376
atg-9	-4.39	3.85	0.0476
atgp-1	2.01	4.63	0.341
atgp-2	1.98	5.53	0.223
ath-1	-0.137	6.63	0.9
athp-1	0.395	5.84	0.778
atl-1	-0.608	7.27	0.504
atm-1	-0.673	6.31	0.602
atp-2	0.161	10.1	0.724
atp-3	0.679	8.62	0.221
atp-4	0.225	6.72	0.835
atp-5	0.297	8.12	0.618
atx-2	0.482	8.02	0.421
atx-3	-0.814	7.15	0.35
ave-1	0.118	4.95	0.955
B0001.2	1.74	8.78	0.00264
B0001.3	-0.348	6.24	0.797
B0001.4	0.458	7.09	0.611
B0001.5	-0.37	7.19	0.687
B0001.6	0.287	6.86	0.778
B0001.7	0.112	7.92	0.856
B0001.8	-0.376	7.24	0.651
B0019.2	-0.823	7.25	0.329
B0024.10	0.365	7.16	0.681
B0024.11	0.254	7.93	0.678
B0024.13	0.675	7.43	0.383
B0024.3	2.02	4.85	0.339
B0025.4	-0.354	6.38	0.78
B0035.1	0.22	7.9	0.739
B0035.11	0.417	8.34	0.443
B0035.12	1.19	8.14	0.039
B0035.15	1.3	7.3	0.132
B0035.16	-1.21	4.66	0.557
B0035.18	1.13	4.26	0.538
B0035.3	-0.000487	8.77	1
B0035.6	0.335	9.19	0.507
B0041.3	0.396	3.31	0.886
B0041.5	0.185	8.19	0.737
B0041.8	0.203	8.7	0.689
B0205.1	-0.597	7.88	0.365
B0205.11	0.349	7.1	0.732
B0205.6	-0.176	5.38	0.917
B0205.8	0.529	5.47	0.722
B0205.9	-0.39	7.68	0.561
B0207.6	0.91	7.39	0.303
B0212.3	-0.293	6.21	0.866
B0228.6	0.697	3.93	0.743
B0228.7	2.91	2.7	0.215
B0238.1	2.98	4.31	0.172
B0238.10	1.23	7.33	0.16
B0238.11	0.762	8.09	0.211
B0238.15	-3.24	3.84	0.122
B0238.9	0.44	8.01	0.457
B0250.5	-0.801	5.93	0.543
B0261.1	0.0913	8.51	0.864
B0261.4	0.528	5.67	0.73
B0261.7	0.651	8.37	0.236
B0272.3	-0.0582	7.19	0.948
B0273.3	-0.735	3.48	0.729
B0280.9	0.459	7.37	0.554
B0281.5	-1.45	4.45	0.437
B0285.3	0.854	6.34	0.506
B0285.4	-0.15	7.15	0.868
B0303.14	-3.14	3.59	0.147
B0303.15	-0.422	5.97	0.758
B0303.3	-0.402	7.87	0.523
B0303.4	-0.322	8.57	0.523
B0303.7	0.958	5.92	0.603
B0304.2	0.467	6.67	0.66
B0304.4	-0.142	6.63	0.913
B0310.2	1.18	5.15	0.459
B0334.15	-1.25	3.66	0.544
B0334.3	1.25	6.85	0.209
B0334.4	0.467	8	0.448
B0334.5	2.18	7.3	0.0117
B0336.13	-0.183	6.7	0.869
B0336.3	-1.17	7.5	0.138
B0336.5	0.135	8.05	0.833
B0336.7	-0.435	5.78	0.8
B0361.2	-0.956	7.27	0.253
B0361.3	-0.269	8.19	0.687
B0361.6	0.239	7.7	0.739
B0361.8	0.317	8.6	0.529
B0361.9	1.38	6.71	0.214
B0365.1	-0.844	6.83	0.41
B0379.1	-2.83	2.71	0.216
B0391.8	-2.95	3.04	0.211
B0393.3	0.0716	9.49	0.882
B0393.6	-0.136	8.22	0.818
B0395.3	0.882	6.69	0.575
B0412.3	-0.353	7.47	0.654
B0416.4	-0.583	6.41	0.619
B0416.5	-0.369	8.22	0.544
B0432.10	0.451	6.06	0.736
B0432.13	-1.62	6.27	0.185
B0432.14	-0.625	3	0.753
B0432.6	-5.05	4.42	0.0184
B0432.8	2.09	6.15	0.14
B0454.9	-0.53	4.71	0.791
B0464.2	0.0796	8.32	0.888
B0464.6	-0.229	8.54	0.664
B0464.9	0.531	7.33	0.506
B0491.1	4.04	3.51	0.0827
B0491.5	-0.181	7.36	0.822
B0491.6	-1.26	7.19	0.324
B0491.7	2.18	3.22	0.306
B0495.2	-1.2	7.8	0.158
B0495.5	-1.83	5.73	0.205
B0495.6	1.31	4.84	0.452
B0495.7	-2.87	7.32	0.0233
B0495.8	0.573	7.14	0.517
B0495.9	0.0525	7.63	0.947
B0507.2	-1.75	5.56	0.296
B0511.12	-0.456	7.64	0.529
B0511.13	-0.184	7.02	0.845
B0511.6	-0.237	7.41	0.789
B0511.7	0.631	7.31	0.448
B0513.2	0.89	6.88	0.383
B0546.2	0.679	7.68	0.321
B0546.4	-0.0941	5.18	0.957
B0564.11	-0.135	5.88	0.934
B0564.2	-2.56	3.73	0.177
B0564.7	0.225	7.13	0.801
baf-1	-0.0752	7.06	0.938
bag-1	0.0998	6.61	0.934
bam-2	2.44	2.82	0.278
bath-1	1.45	5.12	0.393
bath-10	-2.5	2.51	0.268
bath-15	-0.83	6.26	0.504
bath-2	-0.603	5.7	0.691
bath-21	-0.188	3.09	0.955
bath-27	0.0854	5.33	0.971
bath-28	2.32	4.78	0.205
bath-29	0.458	5.61	0.763
bath-30	1.21	6.54	0.272
bath-36	0.945	4.81	0.571
bath-38	-1.5	7.27	0.092
bath-39	0.362	6.96	0.704
bath-4	-3.06	4.34	0.109
bath-40	-0.661	7.53	0.397
bath-41	-0.221	8.19	0.691
bath-42	0.0128	9.2	0.981
bath-43	0.361	8.36	0.517
bath-44	-0.337	7.61	0.636
bath-5	1.89	5.77	0.182
bath-6	1.19	5.32	0.431
bbs-5	-2.99	2.81	0.189
bca-1	-0.0208	5.03	1
bca-2	-1.86	5.1	0.3
bcmo-2	-4.03	3.56	0.0853
bcs-1	-0.128	7.71	0.851
BE0003N10.1	-0.857	5.23	0.626
bec-1	-1.36	5.7	0.372
bed-1	1.75	5.64	0.237
bed-2	-0.684	3.4	0.755
bed-3	-0.183	4.28	0.952
ben-1	-0.259	4.4	0.897
bet-1	-2.8	3.15	0.175
bet-2	0.639	6.8	0.6
bir-1	-0.741	6.51	0.514
bir-2	-0.159	6.52	0.894
bli-3	-3.97	4.45	0.0656
bli-4	-0.395	9.2	0.401
bmk-1	0.919	6.69	0.407
bmy-1	-0.0516	6.67	0.968
bpl-1	2.12	3.82	0.319
bra-1	-0.937	4.03	0.622
bra-2	0.269	7.8	0.71
brc-1	-0.645	5.79	0.679
brc-2	0.27	7.11	0.765
brd-1	-0.344	7.44	0.671
bre-3	0.865	6.78	0.424
bre-4	0.133	5.39	0.951
bre-5	-0.366	6.51	0.751
brf-1	0.0436	8.48	0.937
btb-19	0.389	5.69	0.825
btb-4	1.21	4.09	0.49
btb-6	-0.0626	5.38	0.98
btb-7	0.0535	3.07	1
btf-1	-2.04	5.56	0.192
bub-1	-0.376	7.85	0.556
bub-3	0.268	8.34	0.667
bus-4	-3.07	2.86	0.179
byn-1	-0.214	6.85	0.829
C01A2.3	-1.29	6.23	0.384
C01A2.4	0.779	5.93	0.57
C01A2.5	-0.162	8.48	0.771
C01B10.8	0.134	7.88	0.836
C01B10.9	0.0913	7.82	0.9
C01B12.2	0.0826	4.79	0.978
C01B12.8	0.138	7.2	0.894
C01B12.9	-3.64	3.26	0.0987
C01F1.1	-0.235	7.94	0.745
C01F1.4	-2.43	2.47	0.293
C01F1.6	1.09	7.06	0.242
C01F6.9	0.273	5.03	0.883
C01G10.10	0.8	7.03	0.38
C01G10.7	0.242	6.68	0.822
C01G10.8	0.00713	8.43	0.993
C01G12.1	0.115	4.49	0.957
C01G12.3	0.0241	4.61	1
C01G5.5	0.301	6.55	0.811
C01G5.6	0.281	8.22	0.603
C01G6.3	-0.261	8.49	0.634
C01G6.4	0.877	6.75	0.393
C01G6.5	0.0667	8.79	0.898
C01G8.1	0.513	9.33	0.315
C01G8.6	-0.836	6.17	0.504
C01H6.3	-4.69	4.11	0.0484
C01H6.9	-1.13	7.17	0.259
C02B10.2	0.169	6	0.907
C02B10.4	-0.258	7.7	0.708
C02B10.5	0.161	5.33	0.939
C02B8.6	-1.98	5.45	0.196
C02C6.3	0.392	3.99	0.845
C02D5.2	-3.39	3.08	0.138
C02D5.4	-0.308	6.28	0.803
C02F12.8	-1.48	6.01	0.269
C02F5.12	-0.343	6.87	0.738
C02F5.13	-1.21	6.31	0.351
C02F5.3	0.587	7.35	0.482
C02F5.6	-0.52	7.8	0.438
C02F5.7	-2.05	3.76	0.346
C03A3.2	-1.14	7.69	0.0944
C03B1.7	-0.342	4.44	0.857
C03C10.4	-0.671	6.85	0.507
C03H12.1	-0.0869	5.26	0.969
C03H5.2	0.358	6.18	0.824
C03H5.3	-0.116	8.75	0.834
C04A11.2	-0.412	4.76	0.845
C04B4.2	0.587	8.68	0.301
C04C3.3	0.383	7.78	0.568
C04E6.11	0.182	7.15	0.866
C04F12.1	0.854	7.88	0.29
C04F12.5	0.178	3.17	0.956
C04F5.8	0.451	5.95	0.749
C04F5.9	0.451	6.38	0.785
C04G6.4	-1.44	7.21	0.255
C05B5.4	5.27	4.55	0.0305
C05C10.2	-0.0337	8.04	0.966
C05C10.3	-0.0766	7.7	0.915
C05C10.5	0.0315	9.66	0.948
C05C10.7	1.36	5.49	0.365
C05C8.1	0.0894	6.47	0.941
C05C8.2	0.669	6.79	0.513
C05C8.5	-1.23	7.57	0.152
C05C8.6	1.38	8.44	0.0112
C05D10.1	0.0806	6.48	0.949
C05D10.4	-2.99	2.81	0.189
C05D11.1	-0.789	7.53	0.275
C05D11.10	-1.86	4.68	0.268
C05D11.13	-0.943	4.62	0.635
C05D11.5	3.16	2.86	0.178
C05D11.7	-0.416	8.1	0.491
C05D11.8	-4.98	4.36	0.0246
C05D11.9	0.207	8	0.737
C05D2.10	-0.257	6.43	0.868
C05D2.11	-1.7	2.9	0.414
C05D2.6	0.358	7.44	0.677
C05D9.7	0.726	6	0.579
C05E11.3	-0.671	5.47	0.675
C05G5.2	-1.82	5.37	0.303
C05G5.4	-0.675	6.35	0.563
C06A1.4	-0.0184	8.53	0.976
C06A5.1	-2.65	2.84	0.262
C06A5.2	-3.05	3.2	0.176
C06A5.3	0.889	9.1	0.0624
C06A5.6	0.736	8.08	0.218
C06A5.8	0.192	5.97	0.893
C06A6.2	0.129	6.42	0.928
C06A6.4	-0.154	7.53	0.831
C06A6.5	0.551	4.82	0.75
C06A8.1	-0.361	8.47	0.56
C06A8.2	-0.223	8.62	0.682
C06A8.3	-2.47	5.45	0.192
C06B3.6	-1.41	3.09	0.492
C06B8.7	-1.97	2.52	0.396
C06E1.1	-1.23	4.14	0.488
C06E1.9	0.347	6.76	0.753
C06E2.5	-0.406	4.2	0.827
C06E7.4	0.997	5.64	0.623
C06G3.5	-0.0991	4.91	0.968
C06G3.6	-1.19	6.69	0.263
C06G3.8	-0.107	5.61	0.95
C06G3.9	1.06	4.87	0.562
C06G4.1	-0.0295	8.41	0.962
C06H2.2	1.52	6.52	0.194
C06H2.3	-0.27	6.46	0.826
C06H2.6	0.3	6.82	0.772
C06H2.7	-0.188	8.11	0.741
C07A12.7	1.47	4.17	0.412
C07A9.2	-0.169	6.35	0.89
C07A9.9	0.601	4.85	0.783
C07D10.5	0.43	5.06	0.829
C07D8.6	1.03	8.28	0.0631
C07E3.6	0.94	6.62	0.383
C07F11.2	2.69	2.56	0.246
C07H6.10	0.48	3.14	0.823
C07H6.2	-0.155	5.26	0.927
C07H6.4	-0.924	7.74	0.265
C08A9.6	0.633	5.65	0.685
C08B11.3	-0.214	8.21	0.782
C08B11.6	-0.0363	7.85	0.957
C08B11.8	-0.293	7.25	0.752
C08B11.9	0.178	4.9	0.924
C08B6.7	-0.784	8.34	0.172
C08B6.8	0.631	7.15	0.477
C08C3.4	0.311	7.84	0.628
C08F8.2	0.106	7.67	0.878
C08F8.3	0.35	7.65	0.615
C08F8.9	2.64	3.23	0.216
C08G9.2	-4.61	4.04	0.052
C08H9.16	1.06	6.45	0.391
C08H9.2	0.197	9.63	0.722
C08H9.3	-3.38	4.79	0.126
C09B7.2	-1.64	4.37	0.331
C09B8.4	-0.76	3.44	0.73
C09B8.5	0.586	6.75	0.57
C09D4.1	-2.66	2.6	0.247
C09D4.2	1.48	3.46	0.466
C09D4.4	0.277	7.75	0.722
C09E7.4	0.302	6.3	0.808
C09E7.7	1.14	3.04	0.603
C09E7.8	-0.536	4.63	0.779
C09E8.1	-4.37	5.3	0.0421
C09E9.1	0.933	5.14	0.569
C09F5.1	-2.25	6.22	0.141
C09G1.4	-2.2	2.57	0.365
C09G4.2	3.33	2.98	0.149
C09G4.4	0.0126	6.39	0.994
C09G9.1	-0.199	7.54	0.79
C09G9.2	-0.155	8.17	0.789
C09H10.10	0.877	5.76	0.538
C10B5.1	1.62	3.25	0.433
C10C5.1	-1.84	5.96	0.188
C10C6.6	-0.27	9.38	0.61
C10E2.6	-1.1	7.2	0.214
C10F3.4	-3.21	3.82	0.11
C10G11.7	0.358	8.99	0.454
C10H11.8	1.28	4.02	0.555
C11D2.4	0.0742	7.44	0.927
C11D2.7	-0.391	4.59	0.823
C11H1.2	1.38	4.5	0.512
C11H1.3	-0.812	6.92	0.446
C11H1.7	-3.8	3.38	0.0685
C12D8.1	1.12	8.16	0.0457
C13B4.1	-0.0663	7.16	0.961
C13B9.2	-2.62	2.58	0.247
C13B9.3	0.394	8.68	0.413
C13C4.4	-0.638	5.51	0.675
C13C4.5	-2.33	2.84	0.262
C13F10.2	-0.0417	3.98	1
C13F10.4	-0.593	7.74	0.388
C13F10.5	0.765	6.02	0.578
C13F10.6	-0.187	7.87	0.771
C13F10.7	0.233	8.13	0.714
C13G5.2	0.101	7.39	0.901
C14A11.9	0.679	6.28	0.59
C14A4.11	-0.0714	7.7	0.922
C14A4.14	1.73	6.94	0.101
C14A4.3	1.09	8.21	0.0625
C14B1.10	-0.203	4.22	0.917
C14B1.12	-0.908	5.05	0.577
C14B1.2	0.511	7.51	0.508
C14B1.3	-1.45	6.53	0.195
C14B1.6	1.11	7.46	0.177
C14B1.7	1.7	5.72	0.286
C14B1.8	-0.236	6.95	0.822
C14B1.9	0.264	8.61	0.588
C14B9.10	0.422	4.89	0.806
C14B9.2	-3.37	6.42	0.00976
C14B9.8	2.32	7.84	0.0179
C14C10.2	2.21	3.95	0.285
C14C10.4	1.22	7.27	0.181
C14C10.5	-0.301	8.9	0.583
C14C10.6	0.043	6.2	0.976
C14C11.2	0.345	6.56	0.768
C14C11.7	1.41	5.45	0.365
C14F11.1	-0.0725	8.55	0.893
C14F11.2	-3.28	3	0.127
C14H10.3	-0.00124	3.46	1
C15B12.6	0.137	6.6	0.907
C15C6.4	-0.475	5.74	0.749
C15C7.5	0.577	5.57	0.716
C15C7.7	-1.88	4.99	0.309
C15C8.4	0.955	7.63	0.205
C15C8.7	0.233	5.84	0.877
C15F1.2	1.78	3.07	0.43
C15F1.5	1.84	4.11	0.363
C15H11.8	0.581	6.77	0.614
C15H9.4	-0.351	2.88	0.888
C15H9.5	-2.38	5.63	0.158
C16A11.10	0.213	5.72	0.884
C16A11.2	-0.417	7.33	0.6
C16A11.4	-0.307	7.04	0.767
C16A3.1	1.05	6.53	0.386
C16A3.10	0.385	6.86	0.736
C16A3.2	0.594	6.17	0.651
C16A3.4	-0.0981	7.42	0.902
C16A3.5	0.87	6.45	0.454
C16A3.6	0.711	4.65	0.723
C16C10.1	1.53	6.82	0.165
C16C10.13	-2.76	2.66	0.232
C16C10.2	0.903	7	0.376
C16C10.3	-0.0227	9.38	0.965
C16C10.4	0.442	7.36	0.604
C16C10.8	1.53	4.8	0.413
C16C2.4	0.385	8.34	0.517
C16C8.11	0.633	6.24	0.635
C16C8.12	-1.47	4.64	0.417
C16C8.14	-0.947	4.63	0.568
C16C8.16	-0.264	5.71	0.873
C16C8.4	-0.376	5.69	0.796
C16C8.5	0.802	4.1	0.642
C16D9.6	1.43	4.86	0.432
C16E9.2	0.48	7.41	0.546
C16H3.3	-2.48	4.34	0.251
C17C3.1	2.71	6.22	0.0857
C17D12.1	-1.08	5.89	0.461
C17D12.7	0.595	3.73	0.777
C17E4.10	0.243	8.16	0.665
C17E4.11	0.43	5.19	0.788
C17E4.2	-4.42	3.88	0.0606
C17E4.3	0.438	8.69	0.367
C17E4.4	0.441	6.15	0.741
C17E4.6	0.0332	7.82	0.961
C17E7.12	-0.376	4.95	0.823
C17E7.4	-0.395	7.59	0.607
C17E7.9	-0.803	6.14	0.548
C17F4.2	2.85	2.66	0.214
C17F4.8	0.674	4.06	0.706
C17G10.1	-0.583	8.02	0.323
C17G10.2	-0.558	7.95	0.37
C17G10.9	-0.621	8.36	0.245
C17H11.2	0.312	7.75	0.665
C17H11.6	1.02	5.98	0.458
C17H12.13	0.545	8	0.359
C17H12.2	1.33	5.36	0.41
C18A3.1	-2.3	6.29	0.126
C18A3.2	0.098	5.64	0.951
C18A3.3	-0.264	7.15	0.759
C18A3.4	2.99	3.91	0.179
C18B12.4	0.163	7.18	0.885
C18B12.6	-1.36	7.38	0.0916
C18B2.4	0.777	5.14	0.63
C18C4.5	-4.88	5.07	0.0131
C18D11.3	0.92	6.55	0.43
C18E3.2	-0.45	7.48	0.548
C18E3.3	0.000667	7.42	1
C18E3.5	0.444	6.86	0.676
C18E3.9	-0.338	8.14	0.549
C18E9.10	-0.0152	6.55	0.994
C18E9.2	0.252	9.53	0.599
C18E9.4	0.11	5.38	0.954
C18F10.7	-0.29	8.26	0.59
C18H2.2	-0.353	4.81	0.843
C23F12.4	0.306	6.44	0.794
C23G10.2	0.233	5.16	0.892
C23G10.7	1.17	8.83	0.0146
C23G10.8	-0.315	7.81	0.637
C23H3.3	0.484	6.22	0.716
C23H3.5	0.53	7.64	0.457
C23H4.6	2.76	3.15	0.189
C24A1.2	4.16	3.61	0.0794
C24A1.3	-2.98	3.79	0.17
C24A11.1	-4.05	3.58	0.0827
C24D10.4	0.0988	6.8	0.924
C24D10.5	0.789	6.72	0.464
C24D10.6	0.692	6.26	0.582
C24F3.2	0.835	7.2	0.328
C24G6.8	0.29	7.24	0.737
C24H10.2	-0.213	6.48	0.852
C24H12.4	0.4	6.74	0.715
C24H12.5	-0.569	6.38	0.689
C25A1.1	1.12	7.17	0.217
C25A1.12	0.182	7.66	0.797
C25A1.13	1.35	6.17	0.305
C25A1.16	0.444	5.4	0.771
C25A1.4	-0.432	8.2	0.459
C25A1.5	0.262	8.82	0.602
C25A11.2	0.412	7.44	0.654
C25D7.10	1.34	4.69	0.488
C25F6.1	-1.56	5.67	0.375
C25G4.10	0.848	3.56	0.692
C25G4.2	-4.17	3.68	0.0571
C25G4.3	0.0995	6.02	0.95
C25G6.4	-0.813	3.78	0.681
C25H3.12	-3.16	2.92	0.169
C25H3.14	-1.63	4.7	0.362
C25H3.3	0.462	4.91	0.792
C25H3.4	0.0128	7.65	0.988
C25H3.7	0.77	6.58	0.488
C25H3.8	-1.11	6.66	0.298
C25H3.9	0.34	7.56	0.647
C26B2.7	0.0377	6.98	0.971
C26B9.1	4.94	4.55	0.0149
C26B9.3	3.01	3	0.149
C26B9.6	1.88	2.65	0.427
C26D10.3	0.65	4.71	0.767
C26E6.12	0.0505	7.49	0.948
C26E6.3	1.62	6.36	0.188
C26E6.6	1.61	6.92	0.112
C26F1.3	0.793	6.31	0.519
C26H9A.2	-1.75	4.57	0.341
C27A12.2	-0.422	8.78	0.394
C27A12.6	-0.281	8.02	0.643
C27A12.7	-0.00945	8.73	0.989
C27A12.9	-1.58	5.42	0.394
C27A7.5	-3.15	5.96	0.0506
C27A7.6	-0.0849	5.41	0.961
C27B7.2	0.16	5.83	0.922
C27B7.5	0.797	7.62	0.28
C27C12.1	1.62	5.41	0.358
C27C12.3	0.914	7.38	0.346
C27C12.4	0.342	7.75	0.622
C27C7.1	0.53	6.57	0.652
C27D6.4	1.25	7.41	0.12
C27D8.3	2.81	2.64	0.231
C27D8.4	-0.335	5.94	0.848
C27D9.1	0.749	7.91	0.244
C27F2.10	-1.19	7.79	0.119
C27F2.4	1.27	6.82	0.211
C27F2.7	2.77	5.67	0.129
C27F2.8	0.108	9.37	0.821
C27F2.9	0.557	8.67	0.284
C27H6.3	-0.0369	8.71	0.94
C27H6.8	0.127	7.96	0.839
C27H6.9	0.518	5.59	0.782
C28A5.1	0.552	7.86	0.458
C28A5.2	-0.845	6.91	0.442
C28C12.12	-0.509	8.16	0.399
C28H8.1	0.118	6.68	0.917
C28H8.3	-0.154	7.93	0.837
C28H8.4	-0.356	7.61	0.634
C28H8.9	-0.377	7.78	0.577
C29A12.1	-0.0497	7.13	0.963
C29E4.12	0.121	6.56	0.926
C29E4.13	-0.127	7.23	0.888
C29E4.15	0.273	6.73	0.791
C29E4.9	0.691	3.41	0.738
C29F7.3	-1.86	4.06	0.333
C29H12.2	-0.519	8.47	0.327
C29H12.5	-0.15	6.2	0.908
C30A5.3	-0.269	8.26	0.616
C30B5.2	0.164	7.52	0.832
C30B5.4	0.347	7.95	0.616
