	logFC	logCPM	PValue
C04B4.2	0.457	8.84	0.317
C04C3.3	0.342	7.88	0.537
C04E6.11	-0.273	7.48	0.663
C04F12.1	0.857	7.96	0.123
C04F12.5	-1.96	4.44	0.214
C04F5.8	0.0953	6.2	0.941
C04F5.9	1.33	6.2	0.385
C04G6.4	-1.01	7.04	0.41
C05B5.4	5.42	4.6	0.0204
C05C10.2	-0.301	8.3	0.606
C05C10.3	0.116	7.71	0.843
C05C10.5	0.607	9.49	0.12
C05C10.7	0.0803	6.03	0.953
C05C8.1	-0.244	6.72	0.792
C05C8.2	1.26	6.68	0.165
C05C8.5	-0.64	7.31	0.429
C05C8.6	2.18	8.36	3.82e-06
C05C8.7	-1.96	2.51	0.365
C05D10.1	0.167	6.52	0.871
C05D10.2	-4.96	4.42	0.0266
C05D11.1	-0.478	7.44	0.446
C05D11.10	-3.37	6	0.00817
C05D11.13	0.594	3.99	0.765
C05D11.5	0.213	3.55	0.937
C05D11.7	0.191	7.89	0.735
C05D11.9	0.464	7.97	0.401
C05D2.10	5.33	5.48	0.011
C05D2.11	-1.61	2.9	0.361
C05D2.6	0.341	7.55	0.565
C05D9.7	0.368	6.23	0.736
C05E11.3	-1.71	6.23	0.154
C05G5.2	0.0946	4.34	0.966
C05G5.4	0.983	5.68	0.436
C06A1.4	1.92	7.97	0.00161
C06A5.1	-3.45	3.49	0.0747
C06A5.3	1.75	8.94	0.000173
C06A5.6	2.74	7.69	5.1e-06
C06A5.8	0.662	5.87	0.593
C06A6.2	0.715	6.28	0.511
C06A6.4	0.441	7.34	0.499
C06A6.5	0.811	4.79	0.604
C06A8.1	2	7.71	0.00174
C06A8.2	1.89	7.95	0.00149
C06A8.3	-0.576	4.27	0.767
C06B3.6	-1.63	3.31	0.426
C06E1.1	-0.77	3.96	0.647
C06E1.9	1.75	6.4	0.0896
C06E2.5	-1.84	5.23	0.249
C06E7.2	-2.84	2.78	0.144
C06E7.4	0.708	5.86	0.691
C06G3.5	-1.17	5.64	0.409
C06G3.6	-0.853	6.57	0.371
C06G3.8	-1.06	6.23	0.352
C06G3.9	1.37	4.89	0.4
C06G4.1	0.492	8.28	0.29
C06H2.2	1.9	6.51	0.0678
C06H2.3	-0.553	6.72	0.599
C06H2.6	-0.146	7.11	0.851
C06H2.7	-0.157	8.19	0.74
C07A12.7	0.0821	4.71	0.967
C07A9.2	-1	6.92	0.233
C07A9.9	0.0414	5.2	0.99
C07D10.5	-0.557	5.6	0.742
C07D8.6	0.466	8.58	0.268
C07E3.6	0.813	6.75	0.351
C07F11.2	2.84	2.58	0.197
C07H6.10	1.91	2.88	0.305
C07H6.15	-1.08	3.37	0.541
C07H6.2	-1.47	6.15	0.194
C07H6.4	0.0291	7.3	0.973
C07H6.9	-4.49	4.02	0.0162
C08A9.6	1.74	5.43	0.262
C08B11.3	-0.229	8.33	0.746
C08B11.6	-0.219	8.03	0.656
C08B11.8	-0.358	7.4	0.645
C08B11.9	-0.736	5.48	0.592
C08B6.7	0.0537	7.98	0.925
C08B6.8	-0.543	7.81	0.327
C08C3.4	1.4	7.54	0.0199
C08F8.2	0.146	7.74	0.809
C08F8.3	1.37	7.39	0.0352
C08F8.9	-0.41	4.15	0.826
C08H9.16	0.0155	6.96	0.988
C08H9.2	1.87	9.18	9.7e-05
C08H9.3	-3.57	5.07	0.0335
C09B7.2	-2.29	4.94	0.123
C09B8.4	-2.82	4.96	0.0933
C09B8.5	0.000417	7.09	1
C09D4.2	2.35	3.39	0.211
C09D4.4	-0.0345	8.01	0.959
C09E7.4	0.467	6.32	0.66
C09E7.6	-2.35	2.49	0.259
C09E7.7	-2.97	5.45	0.0528
C09E7.8	-0.705	4.84	0.692
C09E8.1	-2.64	3.91	0.148
C09E9.1	-0.186	5.68	0.893
C09F5.1	-1.62	5.86	0.279
C09G1.4	-3.55	3.57	0.0974
C09G4.2	-2.02	5.01	0.259
C09G4.4	-0.472	6.74	0.595
C09G9.1	0.525	7.3	0.443
C09G9.2	0.238	8.07	0.621
C09H10.10	2.16	5.51	0.124
C09H10.5	-2.32	2.47	0.263
C10A4.1	-3.96	3.59	0.0618
C10B5.1	-1.41	4.64	0.415
C10C5.1	-2.27	6.41	0.0404
C10C6.6	0.538	9.11	0.272
C10E2.2	-4.83	4.32	0.03
C10E2.6	-1.6	7.64	0.0101
C10G11.7	0.34	9.09	0.413
C10H11.8	3.18	3.76	0.112
C11D2.4	-0.226	7.7	0.7
C11D2.7	-2.22	5.92	0.0787
C11H1.2	-1.45	5.97	0.321
C11H1.3	-0.321	6.75	0.754
C11H1.7	-4.51	4.04	0.0162
C12D8.1	1.34	8.19	0.00359
C13A10.2	-1.85	3.21	0.346
C13B4.1	-0.179	7.34	0.834
C13B9.3	0.517	8.73	0.213
C13C4.4	-0.0891	5.32	0.958
C13E3.1	-4.68	4.18	0.0348
C13F10.2	-0.117	4.08	0.975
C13F10.4	-0.854	8	0.112
C13F10.5	1.24	5.94	0.321
C13F10.6	-0.341	8.05	0.48
C13F10.7	-0.239	8.45	0.634
C13G5.2	-0.106	7.58	0.859
C14A11.9	0.418	6.46	0.694
C14A4.11	-0.0738	7.8	0.893
C14A4.14	0.963	7.25	0.169
C14A4.3	0.521	8.51	0.25
C14B1.10	0.571	3.99	0.733
C14B1.12	-1.21	5.36	0.408
C14B1.2	0.327	7.67	0.589
C14B1.3	-0.727	6.15	0.51
C14B1.6	0.598	7.75	0.376
C14B1.7	1.98	5.75	0.123
C14B1.8	1.36	6.39	0.199
C14B1.9	0.135	8.76	0.74
C14B9.10	-1.59	6.12	0.17
C14B9.2	0.771	3.85	0.625
C14B9.8	1.02	8.25	0.025
C14C10.2	-1.19	5.39	0.478
C14C10.4	1.26	7.35	0.11
C14C10.5	1.39	8.32	0.0102
C14C10.6	-0.421	6.51	0.693
C14C11.2	1.47	6.28	0.196
C14C11.7	1.08	5.62	0.425
C14F11.1	0.117	8.56	0.801
C14F11.2	-3.68	3.37	0.0577
C14H10.2	-3.54	3.27	0.0768
C14H10.3	2.94	2.88	0.138
C15B12.6	1.3	6.26	0.229
C15C6.1	-4.19	3.77	0.0519
C15C6.4	-1.07	6.19	0.334
C15C7.5	1.09	5.46	0.441
C15C7.7	-0.54	4.25	0.764
C15C8.4	0.203	8.02	0.696
C15C8.7	-0.736	6.43	0.5
C15F1.2	3.37	2.93	0.131
C15F1.5	0.507	4.6	0.801
C15H11.8	-0.126	7.16	0.885
C15H9.5	-0.877	4.67	0.61
C16A11.10	0.0231	5.88	0.992
C16A11.2	-0.116	7.27	0.876
C16A11.3	-2.42	3.17	0.203
C16A11.4	0.632	6.72	0.545
C16A11.5	-2.23	2.58	0.309
C16A3.1	1	6.66	0.344
C16A3.10	-0.323	7.32	0.721
C16A3.2	0.091	6.46	0.935
C16A3.4	-0.0481	7.49	0.941
C16A3.5	0.231	6.8	0.794
C16A3.6	-0.232	5.12	0.899
C16C10.1	-0.3	7.62	0.641
C16C10.2	-0.00419	7.45	1
C16C10.3	0.602	9.2	0.154
C16C10.4	0.0543	7.62	0.936
C16C10.8	-0.999	5.97	0.468
C16C2.4	0.243	8.48	0.629
C16C8.11	0.297	6.44	0.795
C16C8.12	0.53	3.71	0.789
C16C8.14	3.42	3.44	0.0697
C16C8.16	-0.935	6.16	0.461
C16C8.20	-0.00999	2.95	1
C16C8.4	-1.31	6.35	0.215
C16C8.5	-0.897	4.97	0.554
C16D6.2	-3.85	3.5	0.0423
C16D9.6	0.34	5.33	0.818
C16E9.2	1.1	7.27	0.115
C17C3.1	0.0773	7.04	0.929
C17D12.1	1.5	4.85	0.364
C17D12.7	0.984	3.7	0.571
C17E4.10	0.381	8.18	0.411
C17E4.11	-0.0618	5.49	0.98
C17E4.3	0.0431	8.96	0.916
C17E4.4	-0.461	6.67	0.622
C17E4.6	1.94	7.27	0.00619
C17E7.12	-0.817	5.27	0.567
C17E7.4	1.38	6.93	0.119
C17E7.9	-0.214	5.88	0.871
C17F4.2	2.83	2.7	0.182
C17F4.8	0.217	4.31	0.895
C17G10.1	-0.542	8.09	0.25
C17G10.2	-0.296	7.9	0.577
C17G10.9	-0.573	8.43	0.208
C17H11.2	2.01	7.33	0.0142
C17H11.6	1.62	5.89	0.25
C17H12.13	-0.33	8.51	0.434
C17H12.2	-0.731	6.32	0.534
C18A3.1	-2.06	6.22	0.131
C18A3.2	-1.02	6.34	0.348
C18A3.3	0.0586	7.08	0.942
C18A3.4	0.755	4.41	0.712
C18B12.4	0.422	7.18	0.674
C18B12.6	0.339	6.5	0.725
C18B2.4	2.58	4.83	0.137
C18C4.5	-4.27	4.61	0.0157
C18D11.3	6.47	6.04	7.21e-05
C18E3.2	-0.0955	7.37	0.891
C18E3.3	0.55	7.27	0.449
C18E3.5	-0.108	7.19	0.893
C18E3.9	0.483	7.84	0.378
C18E9.10	-0.758	7.06	0.326
C18E9.2	0.658	9.45	0.116
C18E9.4	-1.16	6.18	0.307
C18F10.7	1.24	7.72	0.0339
C18H2.2	3.89	3.91	0.0472
C23F12.4	0.288	6.53	0.776
C23G10.2	-1.01	5.93	0.395
C23G10.7	0.746	9.07	0.067
C23G10.8	1.01	7.33	0.139
C23H3.3	0.976	6.11	0.43
C23H3.5	-0.0435	7.99	0.939
C23H4.6	1.75	3.34	0.353
C24A1.2	0.151	4.47	0.941
C24D10.4	-0.0161	6.94	0.989
C24D10.5	-0.087	7.19	0.916
C24D10.6	0.273	6.51	0.786
C24F3.2	0.757	7.32	0.264
C24G6.2	-1.44	2.98	0.473
C24G6.8	0.627	7.2	0.398
C24H10.2	3.43	5.61	0.016
C24H12.4	0.0424	6.97	0.968
C24H12.5	0.343	6.03	0.811
C25A1.1	0.491	7.48	0.461
C25A1.12	0.00265	7.83	1
C25A1.13	0.366	6.59	0.711
C25A1.16	-1.62	6.68	0.0796
C25A1.4	0.304	7.93	0.573
C25A1.5	0.0216	9.02	0.961
C25A11.2	0.57	7.49	0.504
C25D7.10	-0.946	5.77	0.502
C25F6.1	-2.2	6.28	0.117
C25G4.10	0.0337	3.97	1
C25G4.2	-4.3	3.86	0.0317
C25G4.3	0.36	5.98	0.779
C25G6.4	-1.04	3.97	0.555
C25H3.10	-3.42	3.18	0.104
C25H3.14	-1.52	4.74	0.34
C25H3.17	-3.26	3.34	0.0846
C25H3.3	-0.691	5.54	0.627
C25H3.4	0.741	7.43	0.265
C25H3.7	0.076	6.96	0.93
C25H3.8	-1.75	7.21	0.0148
C25H3.9	-0.398	8.01	0.446
C26B2.7	-0.297	7.24	0.674
C26B9.1	3.35	4.69	0.0552
C26B9.3	3.53	3.04	0.112
C26B9.6	-0.207	3.33	0.961
C26D10.3	2.36	4.4	0.206
C26E6.12	-0.341	7.78	0.533
C26E6.3	-0.0148	7.03	0.989
C26E6.6	0.856	7.23	0.225
C26F1.3	-0.503	6.99	0.552
C26H9A.2	-2.7	5.42	0.0961
C27A12.2	0.0064	8.64	0.99
C27A12.6	-0.272	8.11	0.571
C27A12.7	1.11	8.37	0.0129
C27A12.9	-2.16	5.98	0.147
C27A7.5	-1.36	4.68	0.435
C27A7.6	-0.509	5.72	0.689
C27B7.2	-0.752	6.38	0.51
C27B7.5	1.04	7.62	0.0956
C27C12.1	1.91	5.44	0.242
C27C12.3	1.93	7.18	0.0228
C27C12.4	0.95	7.6	0.117
C27C7.1	1.43	6.34	0.201
C27D6.4	-0.144	8.08	0.783
C27D8.3	-1.73	4.26	0.393
C27D8.4	-0.454	6.13	0.768
C27D9.1	1.25	7.83	0.0217
C27F2.10	-1.01	7.77	0.117
C27F2.4	0.176	7.32	0.795
C27F2.7	0.563	6.27	0.653
C27F2.8	1.56	8.94	0.000161
C27F2.9	0.543	8.76	0.224
