	P0_rep1	P0_rep2	AB_rep1	AB_rep2	P1_rep1	P1_rep2	
acbp-3	0	0	0	0	0	0	
acbp-4	0	3.03	0	0	0	7.89	
acbp-5	57.49	96.82	33.86	87.04	128.22	86.12	
acbp-6	0	0	0	0	0	0	
acbp-7	0	0	0	0	0	0	
acc-1	0	0	0	0	0	0	
acc-2	0	0	0	0	0	0	
acc-3	0	0	0	0	0	0	
acc-4	0	0	0	0	0	0	
acd-1	0	0	0	0	0	0	
acdh-1	0	0	0	0	0	0	
acdh-10	33.34	73.66	142.08	70.06	310.42	71.29	
acdh-11	26.78	50.37	32.61	16.49	36.17	40.93	
acdh-12	112.47	87.49	92.27	149.9	66.55	116.34	
acdh-13	110.66	48.65	0	11.49	3.24	80.08	
acdh-2	2.15	0	0	0	0	0	
acdh-3	60.16	151.46	227.75	235.32	208.31	188.57	
acdh-4	0	0	0	0	0	0	
acdh-5	0	0	0	0	0	0	
acdh-6	0	0	0	0	0	0	
acdh-7	18	17.03	56.66	104.61	52.63	39.22	
acdh-8	0	0	0	0	0	0	
acdh-9	46.74	18.57	15.37	19.94	19.41	15.84	
ace-1	8.32	0.55	0	0	0	0	
ace-2	0	0	0	0	0	0	
ace-3	0	0	0	0	0	0	
ace-4	0	0	0	0	0	0	
acin-1	72.15	91.59	100.01	73.59	161.84	76.47	
acl-1	1.61	15.1	9.04	20.93	0	70.67	
acl-11	113.22	121.16	28.25	10.13	85.8	18.17	
acl-12	44.5	19.72	43.12	26.21	0	11.93	
acl-13	0	0	0	0	0	0	
acl-14	185.83	209.26	186.1	136.1	67.34	235.06	
acl-2	200.74	129.32	0	50.82	276.39	83.05	
acl-3	194.96	215.7	158.64	166.25	175.49	138.73	
acl-4	42.91	63.76	75.29	134.36	63.83	160.22	
acl-5	32.84	26.21	2.65	43.57	2.02	45.9	
acl-6	151.59	138.38	55.29	167.2	227.77	199.08	
acl-7	0	0	0	0	0	0	
acl-8	0.26	0.78	1.73	0.5	17.06	1.12	
acl-9	318.83	277.03	271.46	273.92	76.32	334.65	
acn-1	0	0	6.7	0	0	0.62	
aco-1	39.65	42.67	5.49	76.59	18.7	36.41	
aco-2	63.79	48.1	40.79	91.3	15.61	156.17	
acox-1	0	0	0	0	0	0	
acp-1	0	0	0	0	0	0	
acp-2	0	0	0	0	0	0	
acp-3	0	0	0	0	0	0	
acp-4	0	0	0	0	0	0	
acp-5	0	0	0	0	0	0	
acp-6	0	0	0	0	0	0	
acp-7	0	0	0	0	0	0	
acr-10	0	0	0	0	0	23.08	
acr-11	9.94	0	0	0	19.76	0.4	
acr-12	0	0	0	0	0	0	
acr-14	0	0	0	0	0	0	
acr-15	0	0	0	0	0	0	
acr-16	55.85	6.44	0	0	0	0	
acr-17	0	12.41	0	0	0	0	
acr-18	0	0	0	0	0	0	
acr-19	0	0	0	0	0	0	
acr-2	0	0	0	0	0	0	
acr-20	0	0	0	0	0	0	
acr-21	0	0	0	0	0	0	
acr-23	0	0	0	0	0	0	
acr-24	0	0	0	0	0	0	
acr-25	0	0	0	0	0	0	
acr-3	0	0	0	0	0	0	
acr-5	0	0	0	0	0	0	
acr-6	0	0	0	0	0	0	
acr-7	0	0	0	0	0	0	
acr-8	1.06	2.28	0.61	0.3	2.35	0.33	
acr-9	1.25	0.42	0	0	0	0	
acs-1	0	0	0	0	0	0	
acs-10	0	0	0	0	0	0	
acs-11	135.6	98.14	80.53	100.71	40.22	149.5	
acs-12	0	0	0	0	0	0.3	
acs-13	102.67	125.01	116.47	226.85	253.52	322.06	
acs-14	0	0	0	0	0	0	
acs-15	0	0	0	0	0	0	
acs-16	0	0	0	5.2	0	0	
acs-17	4.03	2.67	0	0	0	0	
acs-18	0	0	0	0	0	0	
acs-19	252.73	222.26	253.04	347.79	314.06	454.08	
acs-2	0	10.44	15.16	0	20.08	0	
acs-20	34.05	15.4	0	7.11	0	33.14	
acs-21	1.13	4.88	0	1.26	0	27.5	
acs-22	0	0	0	0	0	0	
acs-3	0	0	0	15.44	0	0	
acs-4	230.76	146.82	101.68	157.04	155.49	273.68	
acs-5	0	0	0	0	0	0	
acs-6	0	0	0	0	0	0	
acs-7	0	0	0	0	0	0	
acs-9	0	0	0	0	0	0	
act-1	75.58	107.94	109.91	66.54	88.45	61.45	
act-2	391.57	420.46	625.39	612.16	582.95	520.37	
act-3	199.8	301.38	210.84	115.84	235.51	128.1	
act-4	57.59	34.76	108.78	164.02	55.21	127.08	
act-5	0	0	0	0.92	0	1.03	
acy-1	0	0	21.09	0	0	0	
acy-2	0	0	0	0	0	0	
acy-3	0	0	0	0	0	0	
acy-4	0	0	5.6	0	0	0	
ada-2	70.28	98.9	137.26	93.95	174.41	95.64	
adbp-1	101.96	108.59	77.09	67.2	91.35	54.35	
add-1	0	0	0	0	0	0	
add-2	149.61	171.67	326.48	149.66	221.11	117.46	
adm-2	21.69	10.53	25.03	14.82	0	3.06	
adm-4	91.24	106.86	34.8	68.35	15.56	43.34	
adpr-1	4.28	5.27	0	0	0	0	
adr-1	0	0	0	4.92	0	14.24	
adr-2	116.21	84.29	198.02	129.09	88	160.78	
ads-1	0	0	0	0	0	0	
adt-1	0	0	0	0	0	0	
adt-2	0	0	0	0	0	0	
aex-1	0	0	0	0	0	0	
aex-2	0	0	0	0	0	0	
aex-3	1.11	0	0	0	0	0	
aex-4	0	0	0	0	0	0	
aex-5	0	0	0	0	0	0	
aex-6	0	0	0	0	0	0	
afd-1	7.09	11.69	20.83	4.66	6.82	1.43	
aff-1	0	0	0	0	0	33.44	
age-1	28.05	40.44	75.89	121.58	91.27	43.58	
agef-1	41.27	67.91	68.06	114.26	25.22	35.15	
agl-1	0	0	0	0	0	6.69	
agmo-1	0	0	0	0	0	0	
agr-1	0	0	0	0	0	0	
ags-3	30.22	24.5	15.01	44.04	92.75	27.52	
agt-1	54.69	130.37	59.53	27.83	57.74	23.04	
agt-2	132.51	195.48	383.84	192.52	195.31	237.92	
AH10.2	0	0	0	0	0	0	
AH10.3	0	0	0	0	0	0	
AH10.4	0	0	0	0	0	0	
AH10.7	0	0	0	0	0	0	
AH10.8	0	0	0	0	0	0	
AH10.9	0	0	0	0	0	0	
AH6.3	0	0	0	0	0	0	
AH9.1	3.82	0	0	0	0	1.45	
AH9.3	39.4	94.9	87.61	44.98	64.24	34.47	
AH9.4	0	0	0	0	0	0	
AH9.6	0	0	0	0	0	0	
AH9.7	0	0	0	0	0	0	
aha-1	55.29	34.2	81.99	76.32	69.5	37.47	
ahcy-1	223.81	213.38	334.18	273.51	378.91	267.57	
aho-3	122.83	94.97	137.44	74.01	116.75	64.26	
ahr-1	0	0	0	0	0	0	
ain-1	28.89	43.59	32.73	33.73	0	28.06	
ain-2	85.59	82.6	43.41	85.4	58.4	44.68	
aip-1	46.99	9.6	110.53	30.43	69.17	36.69	
aipl-1	143.21	127.76	76.7	170.29	151.97	203.5	
air-1	447.56	520.09	412.11	344.89	409.76	364.06	
air-2	180.17	159.03	84.56	96.89	152.81	112.27	
ajm-1	1.35	10.53	17.88	1.32	0	23.91	
aka-1	104.64	144.41	97.53	166.74	111.46	154.54	
akt-1	581.99	584.32	438.18	648.28	519.36	464.21	
akt-2	0	29.22	6.96	1.23	0	4.66	
aldo-1	0	0	0.27	0	108.31	0	
aldo-2	250.41	273.03	838.32	736.49	727.08	687.06	
alg-1	12.86	5.06	19.8	14.54	0	9.69	
alg-2	55.4	67.27	36.49	58.9	68.49	26.61	
alh-1	90.57	82	112.31	134.2	336.86	172.9	
alh-10	0	0	0	0	0	0	
alh-11	6.14	24.51	0	7.19	0.25	40.5	
alh-12	0	0	0	0	0	0	
alh-13	0.72	0	0	0	12.7	0	
alh-2	0	0	0	0	0	0	
alh-3	12.43	0.09	0	0	0	13.35	
alh-4	63.53	58.5	62.78	83.88	46.23	129.1	
alh-5	0	0	0	0	0	0	
alh-6	8.01	17.06	3.81	21.77	1.99	17.45	
alh-7	7.41	26.24	1.67	0.3	0.22	6.73	
alh-8	40.2	38.26	23.03	92.36	13.07	108.74	
alh-9	35.26	24.67	87.51	17.57	74.35	59.45	
alp-1	49.39	52.4	34.19	22.86	37.4	17.38	
alr-1	0	0	0	0	0	0	
alx-1	52.39	31.58	54.23	33.24	59.27	56.88	
aly-1	79.28	61.02	28.84	35.68	93.43	43.57	
aly-2	260.04	270.04	496.13	362.02	517.66	278.62	
aly-3	285.79	317.49	455.66	273.25	404.29	210.66	
ama-1	24.56	28.49	36.3	13.39	15.68	17.55	
aman-1	0	0	0	0	0	0	
aman-2	103.12	59.04	53.56	114.63	62.28	58.64	
aman-3	0	0	0	0	0	1.23	
amph-1	26.05	21.16	0	35.25	3.64	48.5	
amt-1	0	0	0	0	0	0	
amt-2	0	0	0	0	0	0	
amt-3	0	2.61	0	0	0	0	
amt-4	0	0	0	0	0	0	
amx-1	40.59	28.37	79.09	46.23	58.3	52.9	
amx-2	0	0	0	0	0	0	
amx-3	0	0	0	0	0	0	
anc-1	0	1.2	0	0	0	0	
ani-1	49.89	52.92	82.45	118.8	54.79	97.95	
ani-2	83.82	81.55	86.86	147.17	82.47	233.88	
ani-3	45.6	75.1	80.56	108.8	78.19	149.41	
ant-1.1	891.87	1101.28	1880.16	1269.58	1606.77	1488.7	
ant-1.2	0	0	0	0	0	0	
ant-1.3	0.26	12.43	0	4.11	0	0	
ant-1.4	0	0	0	0	0	0	
aos-1	313.31	276.31	206.78	178.99	97.3	166.18	
apa-2	36.49	26.11	7	39.21	0.11	43.26	
apb-1	237.58	108.09	96.48	229.71	77.78	141.37	
apb-3	113.09	83.04	97.43	184.86	165.58	138.24	
apc-10	223.52	129.86	307.62	153.57	308.77	220.01	
apc-11	129.99	108.02	79.44	46.91	152.26	32.85	
apc-16	169.57	252.8	79.79	39.06	84.71	79.6	
apc-2	83.62	61.53	53.02	111.41	74.39	88.88	
apd-3	43.99	31.74	32.76	17.61	37.09	4.49	
ape-1	448.17	351.42	586.17	688.89	200.28	401.34	
apg-1	45.47	71.17	16.64	37.34	72.15	66.45	
aph-1	152.16	159.11	90.17	109.86	135.06	103.21	
aph-2	67.39	91.06	80.83	73.56	21.61	50.42	
apl-1	0	0	0	0	0	0	
apm-1	11.61	0	0	7.78	1.64	31.82	
apm-3	115.66	69.96	39.02	77.92	138.74	43.08	
apn-1	116.74	160.9	169.86	84.79	135.48	85.12	
app-1	166.92	184.86	232.3	229.05	169.26	196.3	
apr-1	100.19	59.57	80.4	142.62	71.44	160.75	
aps-1	149.82	207.84	101.38	59.4	0	31.19	
aps-2	115.03	115.25	177.66	69.47	20.87	34.23	
aps-3	159.74	128.38	109.18	43.17	167.81	10.91	
apt-9	0	0	0	0	0	0	
aptf-1	0	0	0	0	0	0	
apx-1	52.25	81.16	3.96	25.57	26.61	27.3	
apy-1	44.42	47.58	52.49	33.67	11.54	55.4	
aqp-1	0	0	0	0	0	0	
aqp-10	73.97	122.33	34.68	56.32	0	20.49	
aqp-11	22.86	38.03	2.77	26.9	7.86	1.92	
aqp-12	28.74	30.9	23.07	7.74	10.49	5.94	
aqp-2	0	0	34.08	0	0	25.51	
aqp-3	0	0	0	0	0	0	
aqp-4	0	0	0	0	0	0	
aqp-5	0	0	0	0	0	0	
aqp-6	0	0	0	0	0	0	
aqp-7	1.94	0	0	0	0	0	
aqp-8	0	0	0	0	0	0	
aqp-9	0	2.58	0	0	0	0	
arc-1	7.48	16.14	0	38.03	0	0.68	
ard-1	150.71	237.56	103.49	111.69	91.18	120.25	
arf-1.1	0	0	0	0	0	0	
arf-1.2	502.56	458.74	463.35	331.78	292.28	330.98	
arf-3	348.02	400.72	461.13	327.11	478.78	295.1	
arf-6	3.89	3.05	53.71	2.54	8.55	5.66	
arg-1	0	0	0	0	0	0	
ari-1	160.34	136.42	230.01	136.39	75.7	120.41	
ark-1	34.81	28.46	50.34	22.66	6.95	24.01	
arl-1	202.05	228.12	153.53	103.23	268.33	70.37	
arl-13	0	0	0	0	0	0	
arl-3	0	0	0	0	0	0	
arl-5	195.39	199.16	123.03	69.05	148.69	62.46	
arl-6	0	0	0	0	0	0	
arl-7	0	0	0	0	0	0	
arl-8	611.85	744.75	520.87	309.35	711.07	308.72	
arp-1	66.99	118.55	128.38	128.28	136.17	89.98	
arp-11	82.46	115.65	11.62	60.55	45.29	99.95	
arr-1	14.09	43.21	49.52	72.01	40.02	53.83	
arrd-1	0	0	0	0	0	0	
arrd-10	0	0	0	0	0	0	
arrd-11	0	0	0	0	0	0	
arrd-12	11.99	0.34	0	0	0	0	
arrd-13	12.05	25.12	27.33	35.12	117.58	49.47	
arrd-14	0	4.14	0	10.71	0	0	
arrd-15	0	0	0	0	0	0	
arrd-16	0	0	0	0	0	0	
arrd-17	0	0	0	0	0	0	
arrd-18	52.48	10.84	46.01	72.12	0	0.77	
arrd-19	12.59	7.28	50.75	19.05	17.99	72.02	
arrd-2	13.27	63.1	52.73	19.79	25.2	39.44	
arrd-20	0	0	0	0	0	0	
arrd-21	0	0	0	0	0	0	
arrd-22	10.65	0	0	22.08	0	0	
arrd-23	0	0	0	0	0	0	
arrd-24	0	0	0	0	0	0	
arrd-25	15.8	36.34	23.35	10.29	1.06	12.14	
arrd-3	0	0	0	0	0	0	
arrd-4	1.18	0.95	9.57	0	0	0	
arrd-5	0	0	0	0	0	0	
arrd-6	0	0	0	0	0	0	
arrd-7	0	13.02	0	0	0	0	
arrd-8	0	0	0	0	0	0	
arrd-9	0	0	0	0	0	0	
art-1	208.11	248.15	217.07	182.22	174.95	133.52	
arx-1	108.95	117.06	106.34	28.02	124.01	102.93	
arx-2	200.76	131.58	178.88	148.56	258.88	270.3	
arx-3	118.35	96.41	123.68	98.2	118.64	109.19	
arx-4	214.52	194.27	159.75	110.47	118.32	100.92	
arx-5	62.81	70.46	4.62	25.28	70.4	31.53	
arx-6	113.34	150.36	15.96	53.25	57.97	80.19	
arx-7	50.79	96.63	39.73	28.03	94.04	47.33	
asah-1	0	0	0	0	0	0	
asb-1	546.3	484.53	294.06	290.83	465.63	305.99	
asb-2	114.94	72.89	77.88	123.95	67.72	104.56	
asc-1	23.96	33.66	1.07	51.82	111.24	32.36	
asd-1	159.26	143.1	92.53	142.8	115.22	102.53	
asd-2	2.05	0	0	97.31	0	99.24	
asfl-1	160.9	152.06	80.64	109.86	278.69	161.49	
asg-1	195.89	289.88	238.35	93.99	395.64	72.8	
asg-2	77.19	134.86	93.19	33.72	73.12	30.99	
ash-2	57.29	61.35	31.82	33.29	71.12	46.03	
asic-1	0	0	0	0	0	0	
asic-2	0	0	0	0	0	0	
asm-1	0	0	0	0	0	0	
asm-2	0	0	0	0	0	0	
asm-3	0	0	0	0	0	0	
asna-1	139.2	140.03	120.49	55.07	127.64	125.85	
asna-2	0	0	7.94	0	127.73	0	
asns-1	0	0	0	0	0	0	
asns-2	0	0	0	0	0	0	
asp-1	0	0	0	0	0	0	
asp-2	0	0	1.39	0.4	0	1.35	
asp-3	0	0	0	0	0	0	
asp-4	0	0	0	0	0	0	
asp-5	0	0	0	0	0	0	
asp-6	0	0	0	0	0	0	
aspm-1	47.61	80.12	54.65	66.2	61.29	14.09	
ast-1	0	0	0	0	0	0	
atad-3	146.9	127.43	79.71	64.1	60.23	119.88	
atf-2	0	0	0	0	0	0	
atf-5	0	0	0	0	0	0	
atf-6	73.55	32.63	50.97	7.38	0	6.54	
atf-7	153.93	256.86	169.73	306.93	355.93	400.7	
atg-10	36.15	12.12	0.68	2.94	0	1.09	
atg-11	18.11	23.24	7.31	39.84	32.71	10.49	
atg-13	210.88	190.97	219.3	126.66	151.21	149.92	
atg-16.1	29.69	36.24	18.57	49.81	79.44	55.59	
atg-16.2	131.89	92.22	141.34	85.97	154.19	139.22	
atg-18	293.27	261.57	151.8	339.02	377.88	459.08	
atg-2	4.59	10.34	0.93	17.03	8.78	3.55	
atg-3	61.98	83.83	106.75	45.33	184.29	51.16	
atg-4.1	2.77	2.46	10.99	27.69	2.76	6.04	
atg-4.2	46.79	56.1	95.24	69.23	15.12	74.51	
atg-5	29.65	93.15	73.71	75.19	43.7	61.8	
atg-7	34.27	74.85	98.01	69.06	136.85	102.66	
atg-9	0	0	1.08	15.7	0	0	
atgp-1	11.9	2.04	0	7.92	0.19	33.89	
atgp-2	1.43	11.14	0.96	13.73	30.27	26.74	
ath-1	128	134.85	108.53	103.04	87.91	94.25	
athp-1	15.32	7.48	13.55	11.77	12.6	19.29	
atl-1	8.56	8.3	28.54	17.52	5.75	23.31	
atm-1	5.4	36.27	55.5	18.34	9.3	35.06	
atn-1	4.11	4.47	0	0.16	0	0	
atp-2	422.75	442.59	502.3	515.17	483.62	597.56	
atp-3	407.43	549.01	530.27	395.38	952.62	439.37	
atp-4	136.59	141.39	119.3	75.27	128.82	85.85	
atp-5	429.39	521.56	450.99	274.82	510.55	330.41	
attf-1	0	0	0	0	0	0	
atx-2	38.53	39.13	44.93	70.22	79.35	72.9	
atx-3	80.43	115.65	172.33	127.66	91.62	68.71	
ave-1	56.56	101.87	87.95	16.83	99.62	5.87	
avr-14	0	0	0	0	0	0	
avr-15	0	0	0	0	0	0	
axl-1	0	0	0	0	0	0	
B0001.10	0	0	0	0	0	0	
B0001.11	0	0	0	0	0	0	
B0001.12	0	0	0	0	0	0	
B0001.2	95.29	81.37	34.05	99.64	217.21	205.1	
B0001.3	25.87	16.13	46.13	43.73	58.52	6.59	
B0001.4	130.94	113.77	98.47	93.03	154.04	94.1	
B0001.5	44.21	25.04	71.23	96.68	26.86	97.91	
B0001.6	52.65	35.61	27.25	56.74	38.13	59.6	
B0001.7	80.64	47.28	73.7	74.86	65.36	87.4	
B0001.8	115.19	102.65	94.9	101.06	77.8	64.6	
B0019.2	36.37	42.19	60.91	103.66	39.81	48.03	
B0024.10	5.41	14.15	55.88	81.79	59.12	110.47	
B0024.11	144.32	136.78	108.23	126.64	143.61	121.23	
B0024.13	313.73	286.03	108.91	160.98	224.67	183.38	
B0024.15	0	0	0	0	0	0	
B0024.17	0	0	0	0	0	0	
B0024.18	0	0	0	0	0	0	
B0024.3	5.47	53.23	0	21.38	86.29	0	
B0024.4	0	0	0	0	0	0	
B0025.4	128.07	259.93	232.65	63.64	159.08	57.21	
B0025.5	0	0	0	0	0	0	
B0025.6	0	0	0	0	0	0	
B0034.1	0	1.65	0	0	0	0	
B0034.10	0	0	0	0	0	0	
B0034.11	0	0	0	0	0	0	
B0034.12	0	0	0	0	0	0	
B0034.13	0	0	0	0	0	0	
B0034.14	0	0	0	0	0	0	
B0034.15	0	0	0	0	0	0	
B0034.16	0	0	0	0	0	0	
B0034.17	0	0	0	0	0	0	
B0034.2	0	0	0	0	0	0	
B0034.4	0	0	0	0	0	0	
B0034.5	0	0.48	0	0	0	0	
B0034.7	0	0	0	0	0	0	
B0034.8	0	0	0	0	0	0	
B0034.9	0	0	0	0	0	0	
B0035.1	183.31	281.33	220.16	127.04	132.95	254.42	
B0035.11	175.62	157.24	205.95	163.06	282.98	181.57	
B0035.12	74.59	87.43	42.14	74.4	112.47	141.25	
B0035.13	0	0	0	0	0	0	
B0035.15	139.82	135.39	85.84	67.22	248.65	107.61	
B0035.16	14.31	90.17	0	54.08	0.99	20.46	
B0035.18	75.05	178.45	32.88	36.17	141.73	6.37	
B0035.19	0	0	0	0	0	0	
B0035.3	479.81	463.37	724.13	285.12	551.53	401.73	
B0035.6	145.36	150.85	137.21	264.45	251.45	227.46	
B0041.1	0	0	0	0	0	0	
B0041.10	0	0	0	0	0	0	
B0041.3	40.97	53.83	0	15.86	3.13	17.7	
B0041.5	168.47	154.41	170.01	172.67	164.37	205.97	
B0041.8	400.06	482.98	509	338.94	528.67	393.5	
B0041.9	0	0	0	0	0	0	
B0198.10	0	0	0	0	0	0	
B0198.2	0	0	0	0	0	0	
B0198.3	0	0	0	0	0	0	
B0198.4	0	0	0	0	0	0	
B0198.5	0	0	0	0	0	0	
B0198.6	0	0	0	0	0	0	
B0198.7	0	0	0	0	0	0	
B0198.8	0	0	0	0	0	0	
B0198.9	0	0	0	0	0	0	
B0205.1	53.51	95.2	135.25	107.29	49.01	104.18	
B0205.10	0	0	0	0	0	0	
B0205.11	144.21	164.14	192.7	45.76	201.22	84.5	
B0205.12	0	46.43	0	0	0	2.96	
B0205.13	0	0	0	0	0	0	
B0205.14	0	0	0	0	0	0	
B0205.15	0	0	0	0	0	0	
B0205.16	0	0	0	0	0	0	
B0205.4	0	0	0	0	0	0	
B0205.5	0	0	0	0	0	0	
B0205.6	66.34	90.91	19.86	36.03	5.79	41.83	
B0205.8	98.75	83.65	51.89	75.11	107.12	66.83	
B0205.9	97.41	92.11	117.75	113.71	80.04	87.22	
B0207.1	0	0	0	0	0	0	
B0207.10	0	0	0	0	0	0	
B0207.11	0	0	0	0	0	0	
B0207.13	0	0	0	0	0	0	
B0207.14	0	0	0	0	0	0	
B0207.15	0	0	0	0	0	0	
B0207.16	0	0	0	0	0	0	
B0207.2	0.38	0	0	6.75	0	0	
B0207.5	0	0.07	0	0	0	0	
B0207.6	160.1	133.56	152.98	73.1	305.85	92.89	
B0207.7	0	0	0	0	0	0	
B0207.8	0	0	0	0	0	0	
B0207.9	0	0	0	0	0	0	
B0212.3	23.55	12.3	10.48	62.17	0	57.44	
B0212.4	0	1.39	0	0	0	0	
B0212.7	0	0	0	0	0	0	
B0212.8	0	0	0	0	0	0	
B0212.9	0	0	0	0	0	0	
B0212.t1	0	0	0	0	0	0	
B0213.18	0	0	0	0	0	0	
B0213.21	0	0	0	0	0	0	
B0213.22	0	0	0	0	0	0	
B0213.23	0	0	0	0	0	0	
B0213.24	0	0	0	0	0	0	
B0213.25	0	0	0	0	0	0	
B0218.5	0	0	0	0	0	0	
B0218.7	0	0	0	0	0	0	
B0222.1	0	0	0	0	0	0	
B0222.10	0	0	0	0	0	0	
B0222.11	0	0	0	0	0	0	
B0222.14	0	0	0	0	0	0	
B0222.2	0	0	0	0	0	0	
B0222.3	0	0	0	0	0	0	
B0222.5	0	0	0	0	0	0	
B0222.9	0	0	0	0	0	0	
B0228.1	0	0	0	0	0	0	
B0228.6	169.34	0	0	38.25	0	62.77	
B0228.7	26.91	11.6	0	0	0	13.77	
B0228.8	0	0	0	0	0	0	
B0228.9	0	0	0	0	0	0	
B0228.t1	0	0	0	0	0	0	
B0238.1	0	0	0	3.18	0	32.22	
B0238.10	101.76	76	111.56	62.11	281.56	103.13	
B0238.11	248.62	207.38	190.2	213.52	430.11	213.48	
B0238.12	0	0	0	0	0	0	
B0238.13	0	0	0	0	0	0	
B0238.15	0	97.71	137.89	19.76	0	8.82	
B0238.18	0	0	0	0	0	0	
B0238.7	0	0	0	0	0	0	
B0238.9	124.65	155.87	150.96	136.16	162.58	208.44	
B0240.5	0	0	0	0	0	0	
B0240.6	0	0	0	0	0	0	
B0244.10	0	0	0	0	0	0	
B0244.11	0	0	0	0	0	0	
B0244.13	0	0	0	0	0	0	
B0244.14	0	0	0	0	0	0	
B0244.4	0	0	0	0	0	0	
B0244.5	0	0	0	0	0	0	
B0244.6	0	0	0	0	0	0	
B0244.7	0	0	0	0	0	0	
B0244.9	8.27	0	0	0	0	0	
B0244.t1	0	0	0	0	0	0	
B0244.t2	0	0	0	0	0	0	
B0244.t3	0	0	0	0	0	0	
B0250.11	0	0	0	0	0	0	
B0250.12	0	0	0	0	0	0	
B0250.14	0	0	0	0	0	0	
B0250.15	0	0	0	0	0	0	
B0250.16	0	0	0	0	0	0	
B0250.17	0	0	0	0	0	0	
B0250.2	0	0.95	0	0	0	0	
B0250.3	0	0	0	0	0	0	
B0250.4	0	0	0	0	0	0	
B0250.5	70.83	116.02	64.71	67.73	29.16	42.35	
